date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150711T03Z,98372,35272,OKAY,98372
20150711T04Z,92135,32395,OKAY,92135
20150711T05Z,86426,30385,OKAY,86426
20150711T06Z,81616,28439,OKAY,81616
20150711T07Z,78781,26999,OKAY,78781
20150711T08Z,76544,26091,OKAY,76544
20150711T09Z,75413,25679,OKAY,75413
20150711T10Z,75484,25626,OKAY,75484
20150711T11Z,76265,25871,OKAY,76265
20150711T12Z,78536,27377,OKAY,78536
20150711T13Z,83592,29716,OKAY,83592
20150711T14Z,87593,32046,OKAY,87593
20150711T15Z,93336,34069,OKAY,93336
20150711T16Z,97861,35675,OKAY,97861
20150711T17Z,101289,37016,OKAY,101289
20150711T18Z,103721,38038,OKAY,103721
20150711T19Z,105430,39003,OKAY,105430
20150711T20Z,107104,39963,OKAY,107104
20150711T21Z,108607,40628,OKAY,108607
20150711T22Z,108943,40794,OKAY,108943
20150711T23Z,107558,39755,OKAY,107558
20150712T00Z,103849,38246,OKAY,103849
20150712T01Z,100268,37262,OKAY,100268
20150712T02Z,98881,36503,OKAY,98881
20150712T03Z,94290,34422,OKAY,94290
20150712T04Z,89321,31831,OKAY,89321
20150712T05Z,84114,29468,OKAY,84114
20150712T06Z,79310,27571,OKAY,79310
20150712T07Z,76176,26215,OKAY,76176
20150712T08Z,73945,25261,OKAY,73945
20150712T09Z,72942,24807,OKAY,72942
20150712T10Z,72670,24537,OKAY,72670
20150712T11Z,72343,24597,OKAY,72343
20150712T12Z,73677,26042,OKAY,73677
20150712T13Z,77035,28534,OKAY,77035
20150712T14Z,83017,31423,OKAY,83017
20150712T15Z,89267,34138,OKAY,89267
20150712T16Z,94821,36517,OKAY,94821
20150712T17Z,99636,38604,OKAY,99636
20150712T18Z,103060,40209,OKAY,103060
20150712T19Z,105966,41487,OKAY,105966
20150712T20Z,108161,42515,OKAY,108161
20150712T21Z,109789,43211,OKAY,109789
20150712T22Z,110766,43253,OKAY,110766
20150712T23Z,109990,42269,OKAY,109990
