date_time,Raw Demand (MW),Forecasted Demand (MW),Classification,Cleaned Demand (MW)
20150710T04Z,6607,5288,OKAY,6607
20150710T05Z,5851,4755,OKAY,5851
20150710T06Z,5370,4378,OKAY,5370
20150710T07Z,5099,4115,OKAY,5099
20150710T08Z,4777,3938,OKAY,4777
20150710T09Z,4677,3887,OKAY,4677
20150710T10Z,4839,3971,OKAY,4839
20150710T11Z,5104,4239,OKAY,5104
20150710T12Z,5457,4458,OKAY,5457
20150710T13Z,6112,4926,OKAY,6112
20150710T14Z,6921,5594,OKAY,6921
20150710T15Z,7775,6256,OKAY,7775
20150710T16Z,8561,6924,OKAY,8561
20150710T17Z,9311,7306,OKAY,9311
20150710T18Z,9914,7726,OKAY,9914
20150710T19Z,10311,7999,OKAY,10311
20150710T20Z,10521,8148,OKAY,10521
20150710T21Z,10601,8180,OKAY,10601
20150710T22Z,10482,7956,OKAY,10482
20150710T23Z,10069,7634,OKAY,10069
20150711T00Z,9427,7130,OKAY,9427
20150711T01Z,8824,6853,OKAY,8824
20150711T02Z,8349,6474,OKAY,8349
20150711T03Z,7675,5953,OKAY,7675
20150711T04Z,6916,5454,OKAY,6916
20150711T05Z,6232,4926,OKAY,6232
20150711T06Z,5682,4521,OKAY,5682
20150711T07Z,5330,4230,OKAY,5330
20150711T08Z,5068,4028,OKAY,5068
20150711T09Z,4908,3909,OKAY,4908
20150711T10Z,4868,3882,OKAY,4868
20150711T11Z,4932,3910,OKAY,4932
20150711T12Z,5179,4102,OKAY,5179
20150711T13Z,5986,4733,OKAY,5986
20150711T14Z,6985,5525,OKAY,6985
20150711T15Z,7951,6144,OKAY,7951
20150711T16Z,8788,6724,OKAY,8788
20150711T17Z,9528,7214,OKAY,9528
20150711T18Z,10039,7615,OKAY,10039
20150711T19Z,10309,7863,OKAY,10309
20150711T20Z,10344,8031,OKAY,10344
20150711T21Z,10272,7981,OKAY,10272
20150711T22Z,9763,7828,OKAY,9763
20150711T23Z,8954,7553,OKAY,8954
20150712T00Z,8305,7145,OKAY,8305
20150712T01Z,7967,6835,OKAY,7967
20150712T02Z,7580,6549,OKAY,7580
20150712T03Z,7037,5992,OKAY,7037
20150712T04Z,6379,5478,OKAY,6379
20150712T05Z,5778,4880,OKAY,5778
20150712T06Z,5325,4533,OKAY,5325
20150712T07Z,5027,4240,OKAY,5027
20150712T08Z,4815,4060,OKAY,4815
20150712T09Z,4705,3934,OKAY,4705
20150712T10Z,4676,3894,OKAY,4676
20150712T11Z,4736,3848,OKAY,4736
20150712T12Z,4907,4052,OKAY,4907
20150712T13Z,5617,4619,OKAY,5617
20150712T14Z,6558,5432,OKAY,6558
20150712T15Z,7272,6037,OKAY,7272
20150712T16Z,7875,6648,OKAY,7875
20150712T17Z,8509,7176,OKAY,8509
20150712T18Z,8997,7501,OKAY,8997
20150712T19Z,9102,7801,OKAY,9102
20150712T20Z,8920,7927,OKAY,8920
20150712T21Z,8585,8032,OKAY,8585
20150712T22Z,8248,7803,OKAY,8248
20150712T23Z,7882,7594,OKAY,7882
20150713T00Z,7540,7206,OKAY,7540
20150713T01Z,7376,6785,OKAY,7376
20150713T02Z,7049,6530,OKAY,7049
20150713T03Z,6497,5961,OKAY,6497
20150713T04Z,5828,5380,OKAY,5828
20150713T05Z,5232,4893,OKAY,5232
20150713T06Z,4801,4536,OKAY,4801
20150713T07Z,4532,4290,OKAY,4532
20150713T08Z,4385,4094,OKAY,4385
20150713T09Z,4368,4023,OKAY,4368
20150713T10Z,4581,4149,OKAY,4581
20150713T11Z,4959,4502,OKAY,4959
20150713T12Z,5327,4716,OKAY,5327
20150713T13Z,5920,5139,OKAY,5920
20150713T14Z,6725,5753,OKAY,6725
20150713T15Z,7614,6409,OKAY,7614
20150713T16Z,8478,7025,OKAY,8478
20150713T17Z,9215,7557,OKAY,9215
20150713T18Z,9854,8110,OKAY,9854
20150713T19Z,10196,8360,OKAY,10196
20150713T20Z,10203,8431,OKAY,10203
20150713T21Z,10188,8333,OKAY,10188
20150713T22Z,10102,8072,OKAY,10102
20150713T23Z,9752,7764,OKAY,9752
20150714T00Z,9278,7380,OKAY,9278
20150714T01Z,8926,7085,OKAY,8926
