Classification of hourly values for the 113 BAs and BA subregions from 2018-10-01 00:00:00 to 2020-09-30 23:00:00 inclusive,,,,,,
"For details and to compare with previous results see Table 3 in ""Developing reliable hourly electricity demand data through screening and imputation""",,,,,,
,,,,,,
,,,,MAPE_(%),MAPE_(%),MAPE_(%)
BA, Median_demand_(MW) , Imputed_hours ,Mean_pct._Error (%),Short_gaps,Long_gaps,All_gaps
PJM-PS,4673,98,-0.099,1.11,1.41,1.38
PNM,1528,175,-0.036,1.91,2.75,2.67
PSCO,5264,11,0.07,0.85,nan,0.85
PSEI,3247,24,1.387,nan,4.66,4.66
SC,2620,191,-0.011,4.54,7.15,6.8
SCEG,2654,31,0.579,1.46,4.03,3.32
SCL,1043,52,0.014,1.21,3.89,2.4
SOCO,25317,149,0.05,2.3,1.98,2
SPA,72,67,0.798,8.43,7.72,8.42
SRP,3052,149,0.219,1.41,2.41,2.3
SWPP-CSWS,5163,983,0.015,1.92,2.12,2.11
SWPP-EDE,581,959,0.101,2.49,2.9,2.88
SWPP-GRDA,671,1126,0.305,2.19,4.12,3.87
SWPP-INDN,112,1255,0.153,1.67,2.93,2.7
SWPP-KACY,270,1079,0.197,1.54,2.84,2.69
SWPP-KCPL,1775,951,0.051,1.69,1.74,1.74
SWPP-LES,375,1005,0.059,1.73,2.53,2.47
SWPP-MPS,956,951,0.223,1.77,2.09,2.07
SWPP-NPPD,1828,975,0.076,4.08,5.44,5.38
SWPP-OKGE,3626,958,0.271,2.55,2.48,2.49
SWPP-OPPD,1299,980,-0.149,1.75,2.14,2.12
SWPP-SECI,627,1008,-0.117,2.76,4.13,4.05
SWPP-SPRM,356,977,0.353,2.15,3.64,3.53
SWPP-SPS,3643,953,0.112,2.26,3.2,3.15
SWPP-WAUE,3434,951,0.265,2.36,2.57,2.56
SWPP-WFEC,1023,983,0.136,2.32,2.82,2.8
SWPP-WR,3476,1246,-0.055,2.09,2.17,2.17
TAL,301,19,0.338,1.61,1.98,1.63
TEC,2299,75,-0.057,1.49,2.27,2.21
TEPC,1326,122,4.927,7.84,14.84,14.46
TIDC,289,235,0.26,1.42,2.84,2.43
TPWR,533,181,-0.26,1.25,2.21,1.99
TVA,17092,125,0.501,1.44,2.3,2.2
WACM,2486,235,0.303,1.51,4.5,3.49
WALC,1050,66,0.614,4.18,5.55,4.88
WAUW,91,275,0.178,3.24,4.92,3.57
