date_time,Cleaned Demand (MW)
20150818T02Z,57762
20150818T03Z,55315
20150818T04Z,51130
20150818T05Z,46817
20150818T06Z,43626
20150818T07Z,41342
20150818T08Z,39718
20150818T09Z,38638
20150818T10Z,38431
20150818T11Z,39592
20150818T12Z,41620
20150818T13Z,42241
20150818T14Z,44276
20150818T15Z,47564
20150818T16Z,51271
20150818T17Z,55049
20150818T18Z,58397
20150818T19Z,61283
20150818T20Z,63476
20150818T21Z,64916
20150818T22Z,65286
20150818T23Z,64472
20150819T00Z,62767
20150819T01Z,60146
20150819T02Z,59032
20150819T03Z,56870
20150819T04Z,52929
20150819T05Z,48735
20150819T06Z,45575
20150819T07Z,43361
20150819T08Z,41868
20150819T09Z,40858
20150819T10Z,40591
20150819T11Z,41806
20150819T12Z,43928
20150819T13Z,44314
20150819T14Z,45460
20150819T15Z,47690
20150819T16Z,50849
20150819T17Z,54035
20150819T18Z,56861
20150819T19Z,57991
20150819T20Z,57987
20150819T21Z,58083
20150819T22Z,57842
20150819T23Z,56612
20150820T00Z,54785
20150820T01Z,52706
20150820T02Z,51896
20150820T03Z,49989
20150820T04Z,46429
20150820T05Z,42550
20150820T06Z,39427
20150820T07Z,37177
20150820T08Z,35827
20150820T09Z,35072
20150820T10Z,35166
20150820T11Z,36606
20150820T12Z,38898
20150820T13Z,39529
20150820T14Z,39994
20150820T15Z,41027
20150820T16Z,42058
20150820T17Z,42897
20150820T18Z,43292
20150820T19Z,43447
20150820T20Z,43248
20150820T21Z,43241
20150820T22Z,43349
20150820T23Z,43060
20150821T00Z,42479
20150821T01Z,42142
20150821T02Z,42825
20150821T03Z,42128
20150821T04Z,39844
20150821T05Z,36962
20150821T06Z,34633
20150821T07Z,33103
20150821T08Z,32171
20150821T09Z,31746
20150821T10Z,31986
20150821T11Z,33474
20150821T12Z,36096
20150821T13Z,37293
20150821T14Z,38718
20150821T15Z,40719
20150821T16Z,42875
20150821T17Z,45244
20150821T18Z,47781
20150821T19Z,50932
20150821T20Z,53835
20150821T21Z,56028
20150821T22Z,57095
20150821T23Z,56511
20150822T00Z,54458
20150822T01Z,51853
20150822T02Z,50598
20150822T03Z,48746
20150822T04Z,45755
20150822T05Z,42607
20150822T06Z,39890
20150822T07Z,37936
20150822T08Z,36533
20150822T09Z,35648
20150822T10Z,35200
20150822T11Z,35477
20150822T12Z,36418
20150822T13Z,37003
20150822T14Z,39743
20150822T15Z,43638
20150822T16Z,47650
20150822T17Z,50891
20150822T18Z,53612
20150822T19Z,56025
20150822T20Z,58117
20150822T21Z,59571
20150822T22Z,60289
20150822T23Z,60072
20150823T00Z,58636
20150823T01Z,56323
20150823T02Z,55069
20150823T03Z,52945
20150823T04Z,49790
20150823T05Z,46448
20150823T06Z,43385
20150823T07Z,41063
20150823T08Z,39339
20150823T09Z,38107
20150823T10Z,37284
20150823T11Z,36917
20150823T12Z,36957
20150823T13Z,36904
20150823T14Z,39765
20150823T15Z,43926
20150823T16Z,48220
20150823T17Z,52407
20150823T18Z,56175
20150823T19Z,59040
20150823T20Z,60654
