date_time,Cleaned Demand (MW)
20150801T15Z,366101
20150801T16Z,390450
20150801T17Z,409203
20150801T18Z,421764
20150801T19Z,431530
20150801T20Z,439859
20150801T21Z,445733
20150801T22Z,447384
20150801T23Z,442384
20150802T00Z,428860
20150802T01Z,414370
20150802T02Z,400589
20150802T03Z,378601
20150802T04Z,350832
20150802T05Z,325133
20150802T06Z,305647
20150802T07Z,291416
20150802T08Z,281277
20150802T09Z,274335
20150802T10Z,271354
20150802T11Z,271288
20150802T12Z,277660
20150802T13Z,297806
20150802T14Z,325324
20150802T15Z,353899
20150802T16Z,380126
20150802T17Z,403158
20150802T18Z,421892
20150802T19Z,435080
20150802T20Z,445408
20150802T21Z,453720
20150802T22Z,459580
20150802T23Z,456135
20150803T00Z,443769
20150803T01Z,430309
20150803T02Z,418506
20150803T03Z,393389
20150803T04Z,363339
20150803T05Z,336050
20150803T06Z,316683
20150803T07Z,302516
20150803T08Z,294019
20150803T09Z,292055
20150803T10Z,299260
20150803T11Z,314372
20150803T12Z,331970
20150803T13Z,353561
20150803T14Z,376900
20150803T15Z,401859
20150803T16Z,425064
20150803T17Z,446425
20150803T18Z,464488
20150803T19Z,477231
20150803T20Z,485067
20150803T21Z,489735
20150803T22Z,488245
20150803T23Z,480347
20150804T00Z,466799
20150804T01Z,452351
20150804T02Z,437956
20150804T03Z,410946
20150804T04Z,377743
20150804T05Z,349411
20150804T06Z,328787
20150804T07Z,314197
20150804T08Z,305166
20150804T09Z,301369
20150804T10Z,308086
20150804T11Z,322499
20150804T12Z,339245
20150804T13Z,358912
20150804T14Z,381363
20150804T15Z,407046
20150804T16Z,432350
20150804T17Z,452828
20150804T18Z,469506
20150804T19Z,481952
20150804T20Z,487700
20150804T21Z,490243
20150804T22Z,487970
20150804T23Z,478207
20150805T00Z,462967
20150805T01Z,448199
20150805T02Z,434668
20150805T03Z,407460
20150805T04Z,374917
20150805T05Z,346820
20150805T06Z,326445
20150805T07Z,312299
20150805T08Z,303150
20150805T09Z,300371
20150805T10Z,306406
20150805T11Z,320688
20150805T12Z,337184
20150805T13Z,356483
20150805T14Z,377776
20150805T15Z,401643
20150805T16Z,424271
20150805T17Z,443654
20150805T18Z,459674
20150805T19Z,471043
20150805T20Z,476933
20150805T21Z,477321
20150805T22Z,472962
20150805T23Z,462950
20150806T00Z,446874
20150806T01Z,433140
20150806T02Z,420950
20150806T03Z,395904
20150806T04Z,365276
20150806T05Z,338317
20150806T06Z,318884
20150806T07Z,305790
20150806T08Z,297122
20150806T09Z,295162
20150806T10Z,302502
20150806T11Z,317666
20150806T12Z,333487
20150806T13Z,349618
20150806T14Z,367466
20150806T15Z,387001
20150806T16Z,405368
20150806T17Z,420291
20150806T18Z,432179
20150806T19Z,440843
20150806T20Z,445035
20150806T21Z,447271
20150806T22Z,444649
20150806T23Z,435720
20150807T00Z,424665
20150807T01Z,416467
20150807T02Z,405517
20150807T03Z,384021
20150807T04Z,356232
20150807T05Z,332078
20150807T06Z,313977
20150807T07Z,301304
20150807T08Z,293415
20150807T09Z,291524
20150807T10Z,298890
20150807T11Z,312689
20150807T12Z,328505
20150807T13Z,345447
20150807T14Z,365032
20150807T15Z,384984
20150807T16Z,401800
20150807T17Z,416068
20150807T18Z,429127
20150807T19Z,439512
20150807T20Z,447560
20150807T21Z,451143
20150807T22Z,449194
20150807T23Z,440371
20150808T00Z,426613
20150808T01Z,414361
20150808T02Z,404396
20150808T03Z,382582
20150808T04Z,355452
20150808T05Z,330828
20150808T06Z,311135
20150808T07Z,297908
20150808T08Z,288471
20150808T09Z,282660
20150808T10Z,282539
20150808T11Z,286083
20150808T12Z,293008
20150808T13Z,310277
20150808T14Z,332323
20150808T15Z,356075
20150808T16Z,376914
20150808T17Z,393400
20150808T18Z,405964
20150808T19Z,415394
20150808T20Z,422897
20150808T21Z,427342
20150808T22Z,427174
20150808T23Z,421422
20150809T00Z,409006
20150809T01Z,399430
20150809T02Z,390057
20150809T03Z,370336
20150809T04Z,345627
20150809T05Z,322595
20150809T06Z,304769
20150809T07Z,291566
20150809T08Z,281890
20150809T09Z,276085
20150809T10Z,274061
20150809T11Z,274451
20150809T12Z,279707
20150809T13Z,297366
20150809T14Z,321619
20150809T15Z,347268
20150809T16Z,370341
20150809T17Z,391716
20150809T18Z,408789
20150809T19Z,422049
20150809T20Z,431872
20150809T21Z,438891
20150809T22Z,442020
20150809T23Z,437843
20150810T00Z,428057
20150810T01Z,419967
20150810T02Z,409584
20150810T03Z,387637
20150810T04Z,360447
20150810T05Z,334926
20150810T06Z,316901
20150810T07Z,303941
20150810T08Z,296481
20150810T09Z,295519
20150810T10Z,303930
20150810T11Z,320648
20150810T12Z,339500
20150810T13Z,357904
20150810T14Z,378022
20150810T15Z,399714
20150810T16Z,419814
20150810T17Z,437284
20150810T18Z,451074
20150810T19Z,460090
20150810T20Z,464534
20150810T21Z,466350
20150810T22Z,465121
20150810T23Z,457553
20150811T00Z,445546
20150811T01Z,435922
20150811T02Z,422869
20150811T03Z,398321
20150811T04Z,366741
20150811T05Z,340185
20150811T06Z,321085
20150811T07Z,308247
20150811T08Z,300593
20150811T09Z,298673
20150811T10Z,307542
20150811T11Z,324306
20150811T12Z,341177
20150811T13Z,357335
20150811T14Z,375463
20150811T15Z,397101
20150811T16Z,417662
20150811T17Z,435182
20150811T18Z,450414
20150811T19Z,461680
20150811T20Z,467922
20150811T21Z,471101
20150811T22Z,468185
20150811T23Z,459236
20150812T00Z,445723
20150812T01Z,432656
20150812T02Z,418746
20150812T03Z,392630
20150812T04Z,360679
20150812T05Z,332738
20150812T06Z,312969
20150812T07Z,299806
20150812T08Z,291668
20150812T09Z,288993
20150812T10Z,295135
20150812T11Z,310662
20150812T12Z,327551
20150812T13Z,346994
20150812T14Z,368245
20150812T15Z,388884
20150812T16Z,408453
20150812T17Z,426044
20150812T18Z,440531
20150812T19Z,452652
20150812T20Z,460741
20150812T21Z,466538
20150812T22Z,466030
20150812T23Z,457591
20150813T00Z,442053
20150813T01Z,427428
20150813T02Z,413540
20150813T03Z,386557
20150813T04Z,354667
20150813T05Z,327167
20150813T06Z,307270
20150813T07Z,294405
20150813T08Z,286051
20150813T09Z,284039
20150813T10Z,291401
20150813T11Z,307132
20150813T12Z,323660
20150813T13Z,341736
20150813T14Z,361088
20150813T15Z,382402
20150813T16Z,403862
20150813T17Z,421824
20150813T18Z,437155
20150813T19Z,449268
20150813T20Z,457426
20150813T21Z,462873
20150813T22Z,462441
20150813T23Z,453665
20150814T00Z,438723
20150814T01Z,426574
20150814T02Z,412855
20150814T03Z,387321
20150814T04Z,356748
20150814T05Z,330102
20150814T06Z,309680
20150814T07Z,296056
20150814T08Z,287462
20150814T09Z,284751
20150814T10Z,291936
20150814T11Z,307643
20150814T12Z,325135
20150814T13Z,341719
20150814T14Z,362675
20150814T15Z,385538
20150814T16Z,406898
20150814T17Z,427827
20150814T18Z,446295
20150814T19Z,461528
20150814T20Z,471452
20150814T21Z,477042
20150814T22Z,473500
20150814T23Z,461791
20150815T00Z,442481
20150815T01Z,428136
20150815T02Z,413666
20150815T03Z,387168
20150815T04Z,356671
20150815T05Z,331956
20150815T06Z,312019
20150815T07Z,297208
20150815T08Z,286572
20150815T09Z,280400
20150815T10Z,279878
20150815T11Z,283362
20150815T12Z,291474
20150815T13Z,311367
20150815T14Z,338070
20150815T15Z,365586
20150815T16Z,391117
20150815T17Z,413538
20150815T18Z,430636
20150815T19Z,443744
20150815T20Z,451248
20150815T21Z,455977
20150815T22Z,454162
20150815T23Z,445192
20150816T00Z,430337
20150816T01Z,417020
20150816T02Z,403192
20150816T03Z,380672
20150816T04Z,353092
20150816T05Z,327242
20150816T06Z,307652
20150816T07Z,294152
20150816T08Z,284137
20150816T09Z,277628
20150816T10Z,275548
20150816T11Z,276541
20150816T12Z,281829
20150816T13Z,301187
20150816T14Z,330396
20150816T15Z,359564
20150816T16Z,387484
20150816T17Z,411883
20150816T18Z,431105
20150816T19Z,444911
20150816T20Z,454671
20150816T21Z,461124
20150816T22Z,462513
20150816T23Z,456870
20150817T00Z,443398
20150817T01Z,433554
20150817T02Z,420760
20150817T03Z,395326
20150817T04Z,365844
20150817T05Z,339325
20150817T06Z,320752
20150817T07Z,307677
20150817T08Z,300252
20150817T09Z,298784
20150817T10Z,308188
20150817T11Z,327901
20150817T12Z,345694
20150817T13Z,364704
20150817T14Z,388902
20150817T15Z,415323
20150817T16Z,440391
20150817T17Z,461712
20150817T18Z,478324
20150817T19Z,488442
20150817T20Z,490788
20150817T21Z,490052
20150817T22Z,485557
20150817T23Z,474940
20150818T00Z,460647
20150818T01Z,451818
20150818T02Z,436577
20150818T03Z,406406
20150818T04Z,373974
20150818T05Z,346979
20150818T06Z,328254
20150818T07Z,315232
20150818T08Z,307594
20150818T09Z,305740
20150818T10Z,314686
20150818T11Z,333925
20150818T12Z,352879
20150818T13Z,369562
20150818T14Z,386362
20150818T15Z,407603
20150818T16Z,428414
20150818T17Z,446431
20150818T18Z,460253
20150818T19Z,470257
20150818T20Z,474966
20150818T21Z,475943
20150818T22Z,473217
20150818T23Z,463065
20150819T00Z,450542
20150819T01Z,442927
20150819T02Z,428783
20150819T03Z,401563
20150819T04Z,369920
20150819T05Z,342920
20150819T06Z,324355
20150819T07Z,312322
20150819T08Z,305019
20150819T09Z,304062
20150819T10Z,313783
20150819T11Z,332861
20150819T12Z,351735
20150819T13Z,369222
20150819T14Z,386796
20150819T15Z,406506
20150819T16Z,424849
20150819T17Z,440339
20150819T18Z,452122
20150819T19Z,459535
20150819T20Z,461158
20150819T21Z,458786
20150819T22Z,452645
20150819T23Z,442078
20150820T00Z,429805
20150820T01Z,423238
20150820T02Z,410873
20150820T03Z,385394
20150820T04Z,355608
20150820T05Z,332164
20150820T06Z,314796
20150820T07Z,302853
20150820T08Z,296603
20150820T09Z,295812
20150820T10Z,305059
20150820T11Z,325078
20150820T12Z,341786
20150820T13Z,356020
20150820T14Z,373076
20150820T15Z,389243
20150820T16Z,405448
20150820T17Z,417622
20150820T18Z,428602
20150820T19Z,436863
20150820T20Z,441900
20150820T21Z,444373
20150820T22Z,442304
20150820T23Z,432287
20150821T00Z,420397
20150821T01Z,411825
20150821T02Z,400466
20150821T03Z,376841
20150821T04Z,347978
20150821T05Z,323213
20150821T06Z,305569
20150821T07Z,294275
20150821T08Z,287398
20150821T09Z,285948
20150821T10Z,294046
20150821T11Z,310849
20150821T12Z,326246
20150821T13Z,342277
20150821T14Z,360087
20150821T15Z,378643
20150821T16Z,395536
20150821T17Z,409945
20150821T18Z,422891
20150821T19Z,433480
20150821T20Z,439961
20150821T21Z,443699
20150821T22Z,439139
20150821T23Z,428022
20150822T00Z,413733
20150822T01Z,401897
20150822T02Z,389362
20150822T03Z,367715
20150822T04Z,340576
20150822T05Z,316687
20150822T06Z,298432
20150822T07Z,285473
20150822T08Z,276549
20150822T09Z,271848
20150822T10Z,272371
20150822T11Z,275991
20150822T12Z,282656
20150822T13Z,299546
20150822T14Z,321950
20150822T15Z,344690
20150822T16Z,364082
20150822T17Z,380489
20150822T18Z,393241
20150822T19Z,401888
20150822T20Z,408703
20150822T21Z,413811
20150822T22Z,414109
20150822T23Z,406556
20150823T00Z,392465
20150823T01Z,383914
20150823T02Z,372600
20150823T03Z,351483
20150823T04Z,327501
20150823T05Z,304721
20150823T06Z,288306
20150823T07Z,277507
20150823T08Z,270445
20150823T09Z,266089
20150823T10Z,265211
20150823T11Z,267182
20150823T12Z,272424
20150823T13Z,287337
20150823T14Z,308784
20150823T15Z,330246
20150823T16Z,349086
20150823T17Z,366277
20150823T18Z,380460
20150823T19Z,392179
20150823T20Z,401468
